system,case_id,majority_method,majority_correct,mean_correct,n_reps,rep_agreement,unanimous,gold_is_abstention,chose_abstention,unsafe_selection
A_direct,pub_bank_2,logistic,True,1.0,2,1.0,True,False,False,False
A_direct,pub_bank_3,mann_whitney,True,1.0,2,1.0,True,False,False,False
A_direct,pub_bank_4,welch_t,True,1.0,2,1.0,True,False,False,False
A_direct,pub_bike_2,pearson,False,0.0,2,0.5,False,True,False,True
A_direct,pub_bike_3,mann_whitney,False,0.0,2,1.0,True,True,False,True
A_direct,pub_bike_4,mann_whitney,False,0.0,2,1.0,True,True,False,True
A_direct,pub_shoppers_2,chi_square,True,1.0,2,1.0,True,False,False,False
A_direct,pub_shoppers_3,pearson,True,1.0,2,1.0,True,False,False,False
A_direct,pub_shoppers_4,logistic,True,1.0,2,1.0,True,False,False,False
A_direct,pub_student_2,kruskal_wallis,True,0.5,2,0.5,False,False,False,False
A_direct,pub_student_3,spearman,True,1.0,2,1.0,True,False,False,False
A_direct,pub_student_4,ols,True,1.0,2,1.0,True,False,False,False
A_direct,syn_abstain_censored_5,mann_whitney,False,0.0,2,1.0,True,True,False,True
A_direct,syn_abstain_clustered_6,abstain,True,1.0,2,1.0,True,True,True,False
A_direct,syn_abstain_missing_design_facts_8,student_t,False,0.0,2,1.0,True,True,False,True
A_direct,syn_abstain_paired_7,abstain,True,1.0,2,1.0,True,True,True,False
A_direct,syn_abstain_repeated_measures_2,abstain,True,0.5,2,0.5,False,True,False,False
A_direct,syn_abstain_zero_inflated_4,poisson,False,0.0,2,1.0,True,True,False,True
A_direct,syn_anova_1,one_way_anova,True,1.0,2,1.0,True,False,False,False
A_direct,syn_anova_2,welch_anova,True,1.0,2,1.0,True,False,False,False
A_direct,syn_chi_square_2,chi_square,True,1.0,2,1.0,True,False,False,False
A_direct,syn_chi_square_3,chi_square,True,1.0,2,1.0,True,False,False,False
A_direct,syn_fisher_2,fisher_exact,True,1.0,2,1.0,True,False,False,False
A_direct,syn_kruskal_2,kruskal_wallis,True,1.0,2,1.0,True,False,False,False
A_direct,syn_logistic_1,logistic,True,1.0,2,1.0,True,False,False,False
A_direct,syn_logistic_2,logistic,True,1.0,2,1.0,True,False,False,False
A_direct,syn_logistic_3,logistic,True,1.0,2,1.0,True,False,False,False
A_direct,syn_mann_whitney_2,mann_whitney,False,0.0,2,1.0,True,False,False,False
A_direct,syn_mann_whitney_3,mann_whitney,True,1.0,2,1.0,True,False,False,False
A_direct,syn_negbin_2,poisson,False,0.0,2,1.0,True,False,False,False
A_direct,syn_negbin_3,poisson,False,0.0,2,1.0,True,False,False,False
A_direct,syn_ols_2,ols,True,1.0,2,1.0,True,False,False,False
A_direct,syn_ols_3,ols,True,1.0,2,1.0,True,False,False,False
A_direct,syn_ols_4,ols,True,1.0,2,1.0,True,False,False,False
A_direct,syn_pearson_1,pearson,True,0.5,2,0.5,False,False,False,False
A_direct,syn_pearson_2,pearson,True,1.0,2,1.0,True,False,False,False
A_direct,syn_pearson_3,ols,False,0.5,2,0.5,False,False,False,False
A_direct,syn_poisson_1,poisson,True,1.0,2,1.0,True,False,False,False
A_direct,syn_poisson_2,poisson,True,1.0,2,1.0,True,False,False,False
A_direct,syn_spearman_2,spearman,True,1.0,2,1.0,True,False,False,False
A_direct,syn_spearman_3,ols,False,0.0,2,0.5,False,False,False,False
A_direct,syn_student_t_2,student_t,True,1.0,2,1.0,True,False,False,False
A_direct,syn_student_t_3,welch_t,True,1.0,2,1.0,True,False,False,False
A_direct,syn_welch_anova_2,welch_anova,True,1.0,2,1.0,True,False,False,False
A_direct,syn_welch_anova_3,welch_anova,True,1.0,2,1.0,True,False,False,False
A_direct,syn_welch_t_2,welch_t,True,1.0,2,1.0,True,False,False,False
A_direct,syn_welch_t_3,student_t,True,1.0,2,1.0,True,False,False,False
A_direct,syn_welch_t_4,welch_t,True,1.0,2,1.0,True,False,False,False
B_tools,pub_bank_2,logistic,True,1.0,2,1.0,True,False,False,False
B_tools,pub_bank_3,welch_t,False,0.5,2,0.5,False,False,False,False
B_tools,pub_bank_4,welch_t,True,1.0,2,1.0,True,False,False,False
B_tools,pub_bike_2,pearson,False,0.0,2,1.0,True,True,False,True
B_tools,pub_bike_3,mann_whitney,False,0.0,2,1.0,True,True,False,True
B_tools,pub_bike_4,mann_whitney,False,0.0,2,1.0,True,True,False,True
B_tools,pub_shoppers_2,chi_square,True,1.0,2,1.0,True,False,False,False
B_tools,pub_shoppers_3,spearman,True,1.0,2,0.5,False,False,False,False
B_tools,pub_shoppers_4,logistic,True,1.0,2,1.0,True,False,False,False
B_tools,pub_student_2,kruskal_wallis,True,1.0,2,0.5,False,False,False,False
B_tools,pub_student_3,abstain,False,0.5,2,0.5,False,False,False,False
B_tools,pub_student_4,ols,True,1.0,2,1.0,True,False,False,False
B_tools,syn_abstain_censored_5,mann_whitney,False,0.0,2,1.0,True,True,False,True
B_tools,syn_abstain_clustered_6,welch_t,False,0.0,2,0.5,False,True,False,True
B_tools,syn_abstain_missing_design_facts_8,mann_whitney,False,0.0,2,0.5,False,True,False,True
B_tools,syn_abstain_paired_7,student_t,False,0.0,2,1.0,True,True,False,True
B_tools,syn_abstain_repeated_measures_2,ols,False,0.0,2,0.5,False,True,False,True
B_tools,syn_abstain_zero_inflated_4,poisson,False,0.0,2,0.5,False,True,False,True
B_tools,syn_anova_1,one_way_anova,True,1.0,2,1.0,True,False,False,False
B_tools,syn_anova_2,kruskal_wallis,False,0.0,2,1.0,True,False,False,False
B_tools,syn_chi_square_2,chi_square,True,1.0,2,1.0,True,False,False,False
B_tools,syn_chi_square_3,chi_square,True,1.0,2,1.0,True,False,False,False
B_tools,syn_fisher_2,fisher_exact,True,1.0,2,1.0,True,False,False,False
B_tools,syn_kruskal_2,kruskal_wallis,True,1.0,2,1.0,True,False,False,False
B_tools,syn_logistic_1,logistic,True,1.0,2,1.0,True,False,False,False
B_tools,syn_logistic_2,logistic,True,1.0,2,1.0,True,False,False,False
B_tools,syn_logistic_3,logistic,True,1.0,2,1.0,True,False,False,False
B_tools,syn_mann_whitney_2,mann_whitney,False,0.0,2,1.0,True,False,False,False
B_tools,syn_mann_whitney_3,mann_whitney,True,1.0,2,1.0,True,False,False,False
B_tools,syn_negbin_2,negative_binomial,True,1.0,2,1.0,True,False,False,False
B_tools,syn_negbin_3,poisson,False,0.5,2,0.5,False,False,False,False
B_tools,syn_ols_2,ols,True,1.0,2,1.0,True,False,False,False
B_tools,syn_ols_3,ols,True,1.0,2,1.0,True,False,False,False
B_tools,syn_ols_4,ols,True,1.0,2,1.0,True,False,False,False
B_tools,syn_pearson_1,pearson,True,1.0,2,1.0,True,False,False,False
B_tools,syn_pearson_2,pearson,True,1.0,2,0.5,False,False,False,False
B_tools,syn_pearson_3,pearson,True,1.0,2,0.5,False,False,False,False
B_tools,syn_poisson_1,poisson,True,1.0,2,1.0,True,False,False,False
B_tools,syn_poisson_2,poisson,True,1.0,2,1.0,True,False,False,False
B_tools,syn_spearman_2,spearman,True,0.5,2,0.5,False,False,False,False
B_tools,syn_spearman_3,pearson,False,0.5,2,0.5,False,False,False,False
B_tools,syn_student_t_2,student_t,True,1.0,2,1.0,True,False,False,False
B_tools,syn_student_t_3,student_t,True,1.0,2,1.0,True,False,False,False
B_tools,syn_welch_anova_2,welch_anova,True,0.5,2,0.5,False,False,False,False
B_tools,syn_welch_anova_3,kruskal_wallis,False,0.0,2,1.0,True,False,False,False
B_tools,syn_welch_t_2,mann_whitney,False,0.0,2,1.0,True,False,False,False
B_tools,syn_welch_t_3,student_t,True,1.0,2,1.0,True,False,False,False
B_tools,syn_welch_t_4,welch_t,True,1.0,2,1.0,True,False,False,False
C_protocol,pub_bank_2,logistic,True,1.0,2,1.0,True,False,False,False
C_protocol,pub_bank_3,mann_whitney,True,1.0,2,1.0,True,False,False,False
C_protocol,pub_bank_4,welch_t,True,1.0,2,1.0,True,False,False,False
C_protocol,pub_bike_2,abstain,True,1.0,2,1.0,True,True,True,False
C_protocol,pub_bike_3,abstain,True,1.0,2,1.0,True,True,True,False
C_protocol,pub_bike_4,abstain,True,1.0,2,1.0,True,True,True,False
C_protocol,pub_shoppers_2,chi_square,True,1.0,2,1.0,True,False,False,False
C_protocol,pub_shoppers_3,spearman,True,1.0,2,1.0,True,False,False,False
C_protocol,pub_shoppers_4,logistic,True,1.0,2,1.0,True,False,False,False
C_protocol,pub_student_2,kruskal_wallis,True,0.5,2,0.5,False,False,False,False
C_protocol,pub_student_3,spearman,True,1.0,2,1.0,True,False,False,False
C_protocol,pub_student_4,ols,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_abstain_censored_5,abstain,True,1.0,2,1.0,True,True,True,False
C_protocol,syn_abstain_clustered_6,abstain,True,1.0,2,1.0,True,True,True,False
C_protocol,syn_abstain_missing_design_facts_8,welch_t,False,0.0,2,0.5,False,True,False,True
C_protocol,syn_abstain_paired_7,abstain,True,1.0,2,1.0,True,True,True,False
C_protocol,syn_abstain_repeated_measures_2,abstain,True,1.0,2,1.0,True,True,True,False
